Route;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
256;1415706;1435093;1492191;1590709;1515475;1417101;1485327;1368565;1362337;1637243;1679285;1659467;1623860;1503679
357;104613;1391739;1495165;1527360;1513092;1639623;1726700;1686486;1415480;1461586;1453462;1436724;1470721;1489338
U2;926366;933656;942716;986109;1076197;1121441;1198327;1259646;1238754;1378158;1394206;1457425;1520844;1485221
382;0;0;0;0;655024;1146045;1254155;1226637;1356677;1506045;1522493;1433203;1517647;1475301
H14;799473;1066180;994411;1066342;1139959;1126023;1117557;1206910;1298980;1355345;1375399;1370498;1470926;1469413
RV1;0;0;0;1092513;1624911;1888598;1716046;1707060;1885288;1958894;2072834;1929464;1739149;1463740
U1;1677771;1734492;1721260;1835105;1533221;862243;962413;1067711;1075311;1301658;1405993;1432468;1503476;1462561
116;825389;909062;1007460;1071851;1131224;1151414;1210326;1221402;1179157;1336944;1446498;1466135;1537012;1445508
178;932828;978241;888075;933620;1058067;1752548;1791651;1699774;1687581;1737361;1669933;1572460;1505408;1444425
W14;543988;769677;845535;973624;1038546;1037729;1121909;1166147;1255171;1339088;1343027;1395275;1438481;1441583
E10;748836;796234;957506;852023;905181;892288;950864;948048;970946;1032797;1221057;1315464;1442755;1433998
403;1276436;1270066;1232046;1311336;1323322;1289121;1286441;1330786;1368179;1442926;1482145;1494313;1545518;1428791
440;0;0;0;467198;846300;1013238;1078167;1062565;1047331;1235230;1254805;1337427;1429885;1408139
268;1390446;1295947;1105696;1304475;1506044;1473663;1628097;1483957;1495555;1457704;1487356;1400747;1452767;1400089
D8;391438;986773;1079901;1072073;1133474;1270659;1398904;1353808;1359355;1377180;1411698;1536379;1535217;1398941
272;0;0;0;752006;1114042;1142046;1179454;1104790;1233658;1375677;1324928;1395681;1386242;1369384
P13;1765099;1804651;1916614;2283352;2431077;1824540;1338837;1273701;1365603;1476007;1414776;1320602;1372706;1367981
162;712180;798083;862445;1135213;1117170;1089265;1096322;1052730;1132555;1214224;1224530;1265078;1310835;1356908
S1;550223;622696;719215;949090;1046358;1151084;1175850;1125699;1136846;1261956;1320582;1345999;1387867;1347758
318;104566;140729;332626;650719;622854;615790;643350;636139;957231;1071816;1051502;1089218;1118568;1347022
496;0;395750;787461;818415;829524;852446;944453;1022717;1082792;1238892;1286751;1297551;1366878;1345057
273;308298;302330;503732;800068;895455;914058;934951;909305;985703;1102115;1173799;1270922;1313389;1303074
324;0;0;0;0;0;0;0;0;0;0;0;423034;1293263;1301629
H17;628678;737704;721065;729720;795050;895062;944036;976124;1099310;1185171;1230852;1207538;1294333;1297865
367;693190;723710;796928;892570;881918;901987;927536;978177;1028381;1139415;1217381;1240845;1274571;1291811
B11;797746;812255;793666;764954;842145;989521;1078624;1120737;1143133;1267689;1229667;1264406;1325447;1286750
313;889819;931513;912289;968785;940303;977710;956232;899440;956845;1088233;1169477;1214424;1290526;1276853
255;1196465;1273182;1276857;1557873;1947988;2238434;2313546;2332626;2407087;1753453;1237491;1247722;1311284;1268159
B16;1441621;1493072;1440758;1372088;1303730;1259665;1213585;1153072;1132477;1278589;1258770;1258540;1292015;1265940
W11;900880;892321;1066133;1107402;1039031;1106252;1211418;1170202;1243391;1274734;1320622;1293164;1342357;1259562
455;1070861;950102;922767;1055325;1043846;1011838;1023670;1001053;1033009;1181669;1219019;1197235;1254744;1255774
336;391557;405379;428570;449220;459255;778478;1063587;1046378;1059589;1168548;1187645;1218409;1246176;1247476
N15;334055;426167;531082;608770;825618;1086750;1178757;1144571;1142919;1152721;1216270;1251607;1140839;1235674
H11;874278;901246;931525;904175;902754;972672;1039412;1061866;1061071;1121709;1194915;1220891;1255501;1225271
T130;0;0;0;0;0;0;0;0;874465;1048969;1113040;1062682;1177980;1221996
339;0;116130;365447;390461;368076;397243;440650;524555;654739;815852;847614;841649;1016811;1214324
463;220661;238919;290360;562597;656022;689680;708269;716251;731794;886676;999536;1093910;1191951;1201490
303;1040954;1031271;1012991;1034613;1024758;1165651;1240048;1144685;1151458;1228984;1246046;1196017;1196326;1190116
299;995560;955332;1012901;1084097;1033137;1046637;1118883;1080576;1100694;1157790;1108540;1098826;1150845;1185526
372;0;0;0;163080;499876;608846;687015;756089;808604;1006326;1065201;1126330;1168017;1157306
353;0;812330;958830;959657;1025946;1014331;1012828;1004614;1031895;1094819;1108367;1036033;1125375;1151190
296;1737907;1309886;859142;864598;824614;826845;869300;822931;985095;1071509;1065328;1104884;1177963;1133659
N9;248494;260557;342222;450942;518767;596936;724621;935946;904590;993027;986636;990507;1178950;1129449
N38;463932;615044;649173;611518;714351;800021;918761;1046129;993744;947605;951075;1077544;1130439;1128971
418;0;0;62648;581957;611422;621714;663547;706622;895494;1039326;1078444;1123753;1175677;1126164
166;528100;551261;689269;800580;838550;894027;945523;1006374;1008338;1099813;1140589;1157100;1211161;1122144
350;0;0;0;0;0;0;0;0;20451;895566;985624;1025184;1072979;1119635
N207;571607;603391;658044;690931;774639;840906;1017532;999210;1003719;1034074;1067959;1029279;1110271;1114840
W5;666298;847304;912564;955012;924006;913409;810760;835872;928151;1053398;1066264;1084869;1117813;1112983
412;796144;767859;707732;730721;783376;818124;819954;859734;863141;1022543;1115705;1126639;1146761;1107843
305;551702;537881;524824;570348;620185;633348;656364;643638;639741;743550;789998;823035;940506;1097984
110;607342;619958;611097;643233;661429;699219;750651;769103;761960;839818;817772;781861;914301;1091133
216;0;0;71093;665432;800732;883123;890155;906424;897079;1074724;1128826;1155517;1161530;1088461
428;783547;907294;971084;993970;992563;1033468;1036516;889070;892193;1019860;1012976;1047287;1096241;1088289
223;582998;635268;702646;875566;917142;837500;841334;791054;850451;921243;969982;980310;1019239;1069571
293;0;0;0;0;394079;708143;768520;815138;876117;965048;994622;1039706;1088187;1055400
